                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1379,                0.62515,                 1.1243,                0.95455,                0.93151,                0.97753,                0.65127,                  1.192,                0.55367,                 1.1506,               0.069617,              0.0027336,              0.0027336
                      1,                 1.1348,                0.62481,                  1.118,                0.95899,                0.93233,                0.97996,                0.65284,                 1.1839,                0.55306,                 1.1338,               0.038492,              0.0049421,              0.0049421
                      2,                 1.1532,                 0.6377,                 1.1245,                0.94593,                0.93125,                0.97594,                0.64971,                  1.184,                0.57465,                 1.1337,              0.0068222,              0.0066058,              0.0066058
                      3,                 1.1495,                 0.6359,                 1.1217,                0.94719,                0.93971,                0.97758,                0.61469,                 1.2828,                0.58483,                 1.1902,              0.0058029,              0.0058029,              0.0058029
                      4,                 1.1387,                0.62501,                 1.1152,                0.95319,                0.92998,                 0.9763,                0.65275,                 1.1825,                0.55894,                  1.129,              0.0058029,              0.0058029,              0.0058029
                      5,                 1.1198,                0.60546,                 1.1026,                0.95702,                0.93328,                0.97887,                0.66297,                 1.1634,                0.53302,                 1.1193,              0.0049857,              0.0049857,              0.0049857
                      6,                 1.1021,                0.59596,                 1.0951,                0.94831,                0.93773,                0.97756,                0.66277,                 1.1638,                0.53231,                 1.1194,              0.0041685,              0.0041685,              0.0041685
                      7,                 1.0955,                0.58548,                 1.0918,                0.95263,                0.93539,                0.97948,                0.65659,                 1.1746,                0.52736,                 1.1258,              0.0033513,              0.0033513,              0.0033513
                      8,                 1.0826,                0.57369,                 1.0884,                0.96345,                0.93381,                0.97962,                0.66496,                  1.163,                  0.513,                 1.1181,              0.0025341,              0.0025341,              0.0025341
                      9,                 1.0907,                0.57658,                 1.0915,                0.96233,                0.93371,                0.97916,                0.65658,                 1.1824,                 0.5159,                 1.1266,              0.0017169,              0.0017169,              0.0017169
