                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1904,                0.63891,                   1.11,                 0.9414,                0.89083,                0.95808,                 0.6079,                 1.2814,                0.62888,                  1.168,               0.092922,               0.026038,               0.026038
                      1,                  1.256,                0.69167,                 1.1445,                0.93564,                0.86737,                0.94626,                 0.6003,                 1.2648,                 0.6586,                 1.1608,               0.080624,               0.047075,               0.047075
                      2,                 1.2862,                0.74398,                 1.1574,                0.91234,                0.86706,                0.92934,                0.57955,                 1.3171,                0.73424,                 1.1919,               0.063138,               0.062922,               0.062922
                      3,                 1.2881,                0.71776,                 1.1585,                0.93565,                0.88832,                0.95369,                0.60399,                 1.3213,                 0.6259,                 1.1846,               0.055274,               0.055274,               0.055274
                      4,                 1.2704,                0.70463,                 1.1523,                0.95121,                0.89011,                0.95803,                0.62337,                 1.2155,                0.61143,                   1.14,               0.055274,               0.055274,               0.055274
                      5,                 1.2249,                 0.6677,                 1.1297,                0.94577,                0.90519,                0.96082,                0.58578,                 1.3532,                0.60372,                 1.2088,                0.04749,                0.04749,                0.04749
                      6,                 1.1951,                0.63277,                 1.1169,                0.94533,                0.91515,                0.96764,                 0.6524,                 1.1932,                0.54685,                 1.1234,               0.039706,               0.039706,               0.039706
                      7,                 1.1699,                 0.6075,                 1.1073,                0.95665,                0.91928,                 0.9718,                0.64319,                 1.2052,                0.53727,                  1.128,               0.031922,               0.031922,               0.031922
                      8,                 1.1421,                0.58018,                 1.0909,                0.96021,                0.92001,                 0.9736,                0.65497,                 1.1848,                0.51692,                 1.1135,               0.024138,               0.024138,               0.024138
                      9,                 1.1319,                0.56449,                 1.0846,                0.95166,                0.93355,                0.97501,                0.66145,                 1.1694,                0.49767,                  1.111,               0.016354,               0.016354,               0.016354
