                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2923,                0.70958,                 1.2419,                0.95373,                0.90074,                0.96542,                0.55288,                 1.4763,                0.61766,                 1.2828,               0.083175,               0.016454,               0.016454
                      1,                 1.2336,                0.69625,                  1.197,                0.93419,                0.89548,                0.95641,                0.61179,                 1.2592,                0.62005,                 1.1717,               0.063062,               0.029674,               0.029674
                      2,                 1.2581,                0.70701,                 1.2129,                0.95778,                0.90774,                0.96691,                 0.5775,                 1.3761,                0.61483,                 1.2225,               0.039685,               0.039631,               0.039631
                      3,                 1.2286,                0.68502,                 1.1956,                0.95099,                0.92739,                0.97345,                 0.5981,                 1.3608,                0.56451,                 1.2158,               0.034758,               0.034758,               0.034758
                      4,                 1.2153,                0.67802,                 1.1914,                0.95238,                0.91496,                0.96978,                0.60566,                 1.3284,                0.57121,                 1.2028,               0.034758,               0.034758,               0.034758
                      5,                 1.1873,                0.65457,                 1.1742,                0.95435,                0.91848,                0.96963,                0.63187,                 1.2233,                0.54953,                  1.145,               0.029863,               0.029863,               0.029863
                      6,                  1.166,                0.63555,                 1.1605,                0.95945,                0.91901,                0.97246,                 0.6412,                 1.2149,                0.53548,                 1.1449,               0.024968,               0.024968,               0.024968
                      7,                 1.1473,                0.62323,                 1.1496,                0.95941,                0.92411,                0.97432,                0.65133,                 1.1869,                0.52449,                  1.132,               0.020073,               0.020073,               0.020073
                      8,                  1.114,                0.60008,                 1.1372,                0.96794,                0.92538,                0.97818,                 0.6498,                 1.1977,                 0.5066,                 1.1362,               0.015179,               0.015179,               0.015179
                      9,                 1.1112,                0.58816,                 1.1322,                0.95592,                0.93918,                0.97923,                0.66127,                 1.1738,                0.49604,                 1.1228,               0.010284,               0.010284,               0.010284
