                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0638,                0.56665,                 1.0819,                0.96021,                0.92614,                0.97787,                0.66156,                 1.1695,                0.51801,                 1.1236,               0.067875,             0.00099163,             0.00099163
                      1,                 1.0445,                0.55367,                  1.075,                0.96314,                0.93432,                0.97891,                 0.6621,                 1.1684,                0.51859,                 1.1202,               0.035343,              0.0017928,              0.0017928
                      2,                 1.0553,                0.55632,                 1.0779,                0.95946,                0.93742,                0.97895,                 0.6659,                 1.1586,                0.51382,                 1.1179,              0.0026127,              0.0023963,              0.0023963
                      3,                  1.051,                0.55527,                 1.0758,                0.96356,                0.93432,                0.97814,                0.66361,                 1.1634,                0.50837,                 1.1199,               0.002105,               0.002105,               0.002105
                      4,                 1.0428,                0.54733,                 1.0696,                0.96146,                0.93078,                0.97949,                0.66096,                 1.1713,                0.51825,                 1.1204,               0.002105,               0.002105,               0.002105
                      5,                 1.0338,                 0.5385,                 1.0644,                0.95799,                0.93585,                0.97907,                0.66853,                 1.1591,                0.50501,                 1.1159,              0.0018086,              0.0018086,              0.0018086
                      6,                 1.0272,                0.53848,                 1.0619,                0.95596,                0.93755,                0.97884,                0.66607,                 1.1615,                0.50183,                 1.1154,              0.0015121,              0.0015121,              0.0015121
                      7,                 1.0276,                0.53458,                 1.0618,                0.95808,                0.94047,                0.97847,                0.66133,                 1.1695,                 0.5065,                 1.1232,              0.0012157,              0.0012157,              0.0012157
                      8,                 1.0314,                0.53479,                 1.0675,                0.96045,                0.93611,                0.97931,                0.66256,                 1.1738,                0.49832,                 1.1236,             0.00091926,             0.00091926,             0.00091926
                      9,                 1.0674,                0.55424,                 1.0824,                0.95914,                0.93592,                0.97949,                0.66419,                 1.1679,                0.50131,                 1.1187,             0.00062282,             0.00062282,             0.00062282
