                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0636,                 0.5447,                 1.0648,                0.96277,                0.93177,                 0.9776,                0.66026,                 1.1883,                0.51901,                 1.1345,               0.069257,              0.0023736,              0.0023736
                      1,                 1.0642,                0.54819,                 1.0677,                0.96426,                0.93068,                0.97654,                0.65813,                 1.1841,                 0.5338,                 1.1241,               0.037841,              0.0042912,              0.0042912
                      2,                 1.0871,                0.56015,                 1.0731,                0.94375,                0.93969,                0.97541,                0.64975,                 1.2053,                0.54307,                 1.1385,              0.0059522,              0.0057357,              0.0057357
                      3,                 1.0839,                0.56481,                 1.0725,                0.95133,                0.93421,                0.97547,                0.65214,                 1.1828,                0.52998,                 1.1355,              0.0050386,              0.0050386,              0.0050386
                      4,                 1.0784,                0.55907,                 1.0692,                0.96141,                0.92952,                0.97653,                0.65952,                 1.1835,                0.52121,                 1.1259,              0.0050386,              0.0050386,              0.0050386
                      5,                 1.0638,                0.54451,                  1.061,                0.94517,                 0.9383,                0.97769,                0.66295,                 1.1716,                0.51333,                 1.1216,               0.004329,               0.004329,               0.004329
                      6,                 1.0583,                0.54025,                 1.0606,                0.95616,                0.93151,                0.97766,                0.66248,                 1.1693,                0.51313,                 1.1199,              0.0036195,              0.0036195,              0.0036195
                      7,                 1.0544,                0.53423,                 1.0589,                0.94683,                0.94097,                0.97828,                0.66082,                 1.1725,                0.51053,                 1.1169,              0.0029099,              0.0029099,              0.0029099
                      8,                 1.0438,                0.52499,                 1.0547,                0.96382,                0.93266,                0.97933,                0.66173,                 1.1742,                0.49562,                 1.1217,              0.0022004,              0.0022004,              0.0022004
                      9,                 1.0587,                0.52901,                 1.0619,                0.95809,                0.93509,                0.97881,                0.66273,                 1.1716,                0.49413,                 1.1146,              0.0014908,              0.0014908,              0.0014908
