                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0806,                0.51745,                 1.0402,                0.94399,                0.87438,                0.94512,                0.61957,                 1.2452,                0.60477,                 1.1503,               0.085257,               0.018373,               0.018373
                      1,                 1.1634,                0.58312,                 1.0818,                0.93961,                0.90008,                0.96158,                0.63489,                 1.2123,                0.58055,                 1.1201,               0.066767,               0.033217,               0.033217
                      2,                 1.2013,                0.61757,                 1.1006,                0.93761,                0.89369,                0.95673,                0.62747,                 1.2279,                0.64388,                 1.1432,               0.044616,               0.044399,               0.044399
                      3,                    1.2,                0.62395,                  1.101,                0.92477,                0.87959,                0.94652,                0.60427,                 1.2791,                0.65679,                 1.1645,               0.039003,               0.039003,               0.039003
                      4,                 1.2011,                0.61547,                 1.0998,                0.94326,                0.91775,                0.96845,                0.63392,                 1.2302,                0.56016,                 1.1337,               0.039003,               0.039003,               0.039003
                      5,                 1.1654,                0.58841,                 1.0852,                0.95062,                  0.925,                0.97166,                0.65355,                 1.1795,                0.52969,                  1.115,                0.03351,                0.03351,                0.03351
                      6,                 1.1345,                0.56543,                 1.0725,                0.95701,                0.91924,                0.97051,                0.66212,                 1.1766,                0.51711,                   1.11,               0.028018,               0.028018,               0.028018
                      7,                 1.1207,                0.54773,                 1.0664,                0.95908,                 0.9164,                0.97378,                0.65427,                 1.1927,                 0.5136,                 1.1152,               0.022525,               0.022525,               0.022525
                      8,                  1.095,                  0.526,                 1.0564,                0.96494,                 0.9214,                0.97438,                0.67547,                 1.1422,                0.48606,                 1.0886,               0.017033,               0.017033,               0.017033
                      9,                 1.0905,                 0.5145,                 1.0546,                0.96174,                0.93279,                0.97668,                0.67577,                 1.1471,                0.46804,                 1.0921,                0.01154,                0.01154,                0.01154
