                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1258,                0.55247,                 1.1012,                0.96024,                0.93824,                0.98129,                0.66453,                 1.1695,                 0.4845,                 1.1206,               0.068276,              0.0015552,              0.0015552
                      1,                 1.0923,                0.52744,                 1.0838,                 0.9596,                0.94088,                0.98067,                0.67318,                 1.1491,                0.47543,                 1.1098,               0.036192,              0.0028047,              0.0028047
                      2,                   1.09,                0.52448,                 1.0838,                0.96486,                0.93483,                0.98056,                0.67467,                  1.145,                0.47431,                 1.1052,                 0.0038,              0.0037458,              0.0037458
                      3,                 1.0849,                0.52145,                 1.0788,                0.96099,                0.93892,                0.98059,                0.67656,                 1.1406,                0.47168,                  1.105,              0.0032852,              0.0032852,              0.0032852
                      4,                 1.0739,                0.51293,                 1.0738,                0.96051,                0.93865,                0.98028,                0.67524,                 1.1457,                0.46981,                 1.1032,              0.0032852,              0.0032852,              0.0032852
                      5,                 1.0653,                0.50955,                 1.0662,                0.95928,                0.94275,                0.98103,                0.67771,                 1.1423,                0.46754,                  1.102,              0.0028225,              0.0028225,              0.0028225
                      6,                 1.0659,                0.50872,                 1.0664,                0.96403,                0.93825,                0.98117,                0.67615,                  1.145,                0.46725,                 1.1018,              0.0023599,              0.0023599,              0.0023599
                      7,                 1.0602,                0.50439,                 1.0635,                0.95843,                0.94284,                0.98115,                0.67767,                 1.1416,                0.46515,                  1.103,              0.0018973,              0.0018973,              0.0018973
                      8,                 1.0534,                0.50319,                 1.0629,                0.95266,                0.94735,                 0.9808,                0.67735,                 1.1408,                0.46465,                  1.103,              0.0014346,              0.0014346,              0.0014346
                      9,                 1.0638,                0.50188,                 1.0665,                0.96286,                 0.9379,                0.98132,                0.67852,                 1.1396,                0.46176,                 1.1011,               0.000972,               0.000972,               0.000972
