                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0991,                0.51062,                 1.0495,                0.93491,                0.89957,                0.95642,                0.62394,                 1.2497,                0.56501,                 1.1554,               0.099533,                0.03265,                0.03265
                      1,                 1.1762,                0.57773,                  1.086,                0.94288,                0.88295,                0.95197,                0.61356,                 1.2773,                0.58987,                   1.16,               0.092577,               0.059027,               0.059027
                      2,                 1.2102,                0.61558,                 1.1006,                0.94121,                0.90544,                0.95769,                0.58544,                 1.3525,                 0.6019,                 1.2176,               0.079115,               0.078898,               0.078898
                      3,                 1.2108,                0.60231,                 1.1027,                0.93346,                0.90698,                0.96263,                0.60727,                 1.3161,                0.58696,                 1.1847,               0.069309,               0.069309,               0.069309
                      4,                 1.1942,                0.59587,                 1.0996,                0.95714,                0.90743,                0.96472,                 0.6476,                  1.212,                0.56374,                 1.1333,               0.069309,               0.069309,               0.069309
                      5,                 1.1575,                0.56668,                  1.077,                0.95849,                0.90902,                0.97057,                0.65794,                 1.1859,                0.53228,                 1.1148,               0.059548,               0.059548,               0.059548
                      6,                  1.129,                0.54316,                 1.0657,                0.95763,                0.92435,                0.97558,                0.66663,                 1.1662,                 0.5015,                 1.1077,               0.049788,               0.049788,               0.049788
                      7,                 1.1051,                0.52585,                 1.0574,                0.96323,                0.92154,                0.97622,                0.67043,                 1.1517,                 0.4878,                 1.1041,               0.040028,               0.040028,               0.040028
                      8,                  1.084,                0.50849,                 1.0515,                0.95884,                0.92742,                0.97744,                0.67538,                 1.1477,                0.47782,                 1.1005,               0.030267,               0.030267,               0.030267
                      9,                 1.0717,                0.49465,                 1.0444,                 0.9632,                0.92998,                0.97707,                 0.6786,                 1.1397,                0.46343,                 1.0947,               0.020507,               0.020507,               0.020507
