                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0899,                0.53211,                   1.08,                0.96251,                  0.925,                0.97605,                0.66088,                 1.1777,                  0.489,                 1.1192,               0.074167,              0.0072844,              0.0072844
                      1,                 1.0698,                  0.524,                 1.0703,                0.95783,                0.93381,                0.97853,                0.66974,                 1.1557,                0.48102,                 1.1059,               0.046719,               0.013169,               0.013169
                      2,                 1.0785,                0.52825,                  1.071,                 0.9523,                0.92742,                0.97483,                0.66462,                 1.1705,                 0.4999,                 1.1138,               0.017819,               0.017603,               0.017603
                      3,                 1.0737,                0.52512,                 1.0702,                0.95903,                0.93125,                0.97623,                0.66252,                 1.1857,                0.48983,                 1.1195,               0.015463,               0.015463,               0.015463
                      4,                 1.0678,                0.51782,                 1.0656,                0.95262,                0.92996,                0.97488,                0.66789,                 1.1615,                 0.4886,                  1.106,               0.015463,               0.015463,               0.015463
                      5,                 1.0545,                0.50947,                 1.0589,                0.95836,                0.93526,                0.97844,                0.66409,                 1.1742,                0.47921,                 1.1126,               0.013286,               0.013286,               0.013286
                      6,                 1.0487,                0.50492,                 1.0561,                0.95012,                0.94045,                0.97884,                0.67577,                 1.1464,                0.46971,                 1.0986,               0.011108,               0.011108,               0.011108
                      7,                 1.0386,                0.49614,                 1.0524,                0.95577,                0.93355,                0.97882,                0.66908,                  1.153,                0.47201,                 1.1038,              0.0089304,              0.0089304,              0.0089304
                      8,                 1.0325,                 0.4919,                 1.0512,                0.96025,                0.93355,                0.97979,                0.67619,                 1.1425,                0.46422,                 1.0983,              0.0067528,              0.0067528,              0.0067528
                      9,                 1.0417,                0.49677,                 1.0545,                0.95826,                0.93713,                0.97957,                0.67347,                 1.1471,                0.46099,                 1.0989,              0.0045752,              0.0045752,              0.0045752
