                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.087,                0.51634,                  1.042,                 0.9638,                0.92524,                0.97735,                0.66551,                 1.1666,                0.49352,                 1.0968,               0.073341,              0.0064576,              0.0064576
                      1,                 1.0899,                0.52085,                 1.0447,                0.95726,                0.92921,                0.97786,                 0.6731,                  1.142,                0.49649,                 1.0819,               0.045224,               0.011675,               0.011675
                      2,                 1.0974,                0.52491,                 1.0454,                0.94886,                0.93177,                0.97646,                 0.6585,                 1.1817,                0.50083,                 1.1036,               0.015821,               0.015605,               0.015605
                      3,                 1.0958,                0.52264,                 1.0456,                0.95065,                0.93432,                0.97621,                 0.6639,                 1.1719,                0.49343,                 1.1017,               0.013708,               0.013708,               0.013708
                      4,                 1.0881,                0.51771,                 1.0429,                0.95425,                0.92614,                0.97692,                0.67153,                   1.16,                0.49815,                 1.0908,               0.013708,               0.013708,               0.013708
                      5,                 1.0745,                0.50697,                 1.0376,                0.95294,                0.93147,                0.97621,                0.67768,                 1.1507,                0.48299,                 1.0883,               0.011778,               0.011778,               0.011778
                      6,                 1.0647,                0.49847,                 1.0329,                0.95988,                0.93407,                0.97926,                0.68153,                 1.1396,                0.47038,                 1.0871,              0.0098472,              0.0098472,              0.0098472
                      7,                 1.0662,                0.49722,                 1.0355,                0.95632,                0.93483,                0.97945,                0.67846,                  1.141,                0.47056,                 1.0844,              0.0079168,              0.0079168,              0.0079168
                      8,                 1.0509,                0.48841,                 1.0317,                0.95445,                0.94097,                 0.9803,                0.68255,                 1.1335,                 0.4632,                 1.0787,              0.0059863,              0.0059863,              0.0059863
                      9,                  1.063,                0.49136,                 1.0353,                0.96055,                0.93432,                0.98017,                0.68156,                 1.1367,                0.46336,                 1.0798,              0.0040559,              0.0040559,              0.0040559
