                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2214,                0.70826,                 1.1152,                0.91814,                0.82775,                0.91652,                0.54309,                 1.4125,                0.82023,                 1.2405,               0.090835,               0.023952,               0.023952
                      1,                  1.352,                0.88298,                 1.1823,                0.91354,                0.83712,                0.91947,                0.56609,                 1.3048,                0.89045,                 1.1974,               0.076853,               0.043303,               0.043303
                      2,                 1.3866,                0.97297,                 1.2016,                0.90114,                0.84999,                0.92994,                0.54485,                 1.4297,                 1.2477,                 1.2632,               0.058096,                0.05788,                0.05788
                      3,                 1.3651,                0.88103,                 1.1899,                0.93561,                0.88602,                0.95019,                0.55573,                 1.4225,                0.72915,                  1.231,               0.050845,               0.050845,               0.050845
                      4,                 1.3454,                0.81061,                 1.1852,                0.91787,                0.87391,                0.93819,                0.58948,                 1.3067,                0.71013,                 1.1818,               0.050845,               0.050845,               0.050845
                      5,                 1.2729,                0.73067,                 1.1532,                0.94932,                0.89854,                 0.9621,                0.58061,                 1.3901,                  0.667,                 1.2149,               0.043685,               0.043685,               0.043685
                      6,                 1.2417,                0.67921,                 1.1355,                0.95367,                0.91542,                0.96928,                0.63923,                 1.2184,                0.60225,                 1.1318,               0.036525,               0.036525,               0.036525
                      7,                 1.2028,                0.64686,                 1.1192,                 0.9534,                0.90977,                0.97217,                0.64618,                 1.1871,                0.55444,                 1.1159,               0.029364,               0.029364,               0.029364
                      8,                 1.1657,                0.60661,                  1.101,                0.95892,                0.91234,                0.97299,                  0.653,                 1.1901,                0.54476,                  1.121,               0.022204,               0.022204,               0.022204
                      9,                 1.1415,                0.58175,                 1.0905,                0.95402,                0.93407,                0.97768,                0.64815,                 1.2029,                0.51489,                 1.1181,               0.015044,               0.015044,               0.015044
