                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4577,                 1.5189,                 1.3075,                0.86371,                 0.8206,                 0.8812,                0.40825,                 1.7017,                 1.2066,                 1.4871,               0.078157,               0.011274,               0.011274
                      1,                 1.3636,                0.98572,                 1.1985,                0.88422,                0.84901,                0.90841,                   0.54,                 1.2971,                0.92707,                 1.1702,               0.053932,               0.020383,               0.020383
                      2,                 1.3725,                0.97959,                 1.1921,                0.88025,                0.82341,                  0.914,                0.53857,                 1.4303,                0.89792,                 1.2299,               0.027461,               0.027244,               0.027244
                      3,                 1.3364,                0.90656,                 1.1732,                0.93077,                0.89267,                0.95404,                0.57655,                 1.3913,                0.73209,                 1.2084,               0.023933,               0.023933,               0.023933
                      4,                 1.3168,                0.82975,                  1.163,                0.93251,                0.89011,                0.94896,                0.59229,                 1.3303,                0.70841,                 1.1763,               0.023933,               0.023933,               0.023933
                      5,                 1.2601,                0.75626,                 1.1354,                0.95425,                0.90877,                0.96643,                  0.601,                 1.2976,                0.62899,                 1.1595,               0.020563,               0.020563,               0.020563
                      6,                 1.2281,                0.70734,                 1.1232,                0.95676,                0.90464,                0.97048,                0.64544,                 1.2067,                 0.5889,                 1.1158,               0.017192,               0.017192,               0.017192
                      7,                 1.1921,                0.66682,                 1.1052,                0.95664,                0.91903,                0.97362,                0.64335,                 1.2022,                0.55806,                 1.1094,               0.013822,               0.013822,               0.013822
                      8,                 1.1565,                0.62914,                 1.0883,                0.95996,                0.91907,                0.97465,                0.64419,                 1.2066,                0.55431,                 1.1064,               0.010451,               0.010451,               0.010451
                      9,                 1.1412,                0.60537,                 1.0804,                0.96239,                0.93253,                 0.9786,                0.64316,                 1.2082,                  0.533,                 1.1058,              0.0070811,              0.0070811,              0.0070811
