                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2141,                0.63322,                 1.1711,                0.96034,                0.91618,                0.97078,                0.64096,                 1.2279,                0.53423,                 1.1482,               0.079319,               0.012436,               0.012436
                      1,                 1.1477,                0.61312,                 1.1271,                0.95429,                0.92282,                0.97358,                0.65414,                 1.1822,                0.52414,                 1.1174,               0.056033,               0.022483,               0.022483
                      2,                 1.1665,                0.61983,                 1.1333,                0.94167,                 0.9117,                0.96648,                0.64722,                 1.1982,                0.54965,                  1.132,               0.030268,               0.030051,               0.030051
                      3,                 1.1614,                 0.6204,                 1.1351,                0.95025,                0.91797,                0.96948,                0.63133,                 1.2681,                0.54845,                 1.1683,               0.026399,               0.026399,               0.026399
                      4,                 1.1464,                0.60703,                  1.127,                0.95267,                0.92487,                0.97336,                0.65075,                 1.2046,                0.52399,                 1.1273,               0.026399,               0.026399,               0.026399
                      5,                 1.1249,                 0.5919,                 1.1146,                 0.9554,                0.93381,                0.97626,                0.63092,                 1.2567,                0.51809,                 1.1572,               0.022681,               0.022681,               0.022681
                      6,                 1.1112,                0.57997,                 1.1087,                0.95862,                0.93074,                0.97593,                0.66591,                 1.1618,                0.49614,                 1.1127,               0.018964,               0.018964,               0.018964
                      7,                 1.0959,                0.57157,                 1.1038,                 0.9568,                0.92259,                0.97705,                0.66231,                 1.1696,                0.49679,                 1.1121,               0.015246,               0.015246,               0.015246
                      8,                 1.0817,                0.55648,                 1.0998,                0.96065,                0.93049,                0.97568,                0.66395,                 1.1694,                0.49414,                 1.1201,               0.011528,               0.011528,               0.011528
                      9,                 1.0835,                0.55452,                 1.0995,                0.96059,                0.92802,                 0.9766,                0.66598,                 1.1692,                0.48579,                  1.116,              0.0078107,              0.0078107,              0.0078107
