                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0732,                0.53455,                 1.0805,                0.95048,                0.92704,                0.97198,                0.61976,                 1.2876,                 0.5263,                 1.1822,               0.084559,               0.017676,               0.017676
                      1,                 1.1017,                0.56495,                 1.0954,                0.95357,                0.91329,                0.96656,                0.64664,                 1.1956,                0.54278,                 1.1195,               0.065506,               0.031956,               0.031956
                      2,                 1.1401,                 0.5879,                 1.1111,                0.95028,                0.91346,                0.96703,                0.63725,                 1.2194,                0.55137,                 1.1412,                0.04293,               0.042714,               0.042714
                      3,                 1.1418,                0.59307,                 1.1165,                  0.954,                0.91822,                0.97019,                 0.6069,                 1.3302,                0.55738,                 1.1901,               0.037522,               0.037522,               0.037522
                      4,                 1.1289,                0.58666,                 1.1098,                0.94513,                 0.9149,                0.96578,                0.64532,                 1.2063,                0.57628,                 1.1274,               0.037522,               0.037522,               0.037522
                      5,                 1.1086,                0.57233,                 1.0996,                0.95045,                0.92742,                0.97125,                0.63066,                 1.2557,                0.52687,                 1.1542,               0.032238,               0.032238,               0.032238
                      6,                 1.0919,                0.55658,                  1.091,                0.95661,                0.92282,                0.97141,                0.66016,                 1.1759,                0.50749,                  1.115,               0.026954,               0.026954,               0.026954
                      7,                 1.0742,                0.54289,                 1.0826,                0.95695,                0.92589,                0.97591,                0.65123,                 1.1955,                0.50869,                 1.1279,                0.02167,                0.02167,                0.02167
                      8,                 1.0563,                0.53017,                  1.079,                0.95942,                0.92434,                0.97594,                0.66767,                 1.1694,                0.49485,                 1.1185,               0.016386,               0.016386,               0.016386
                      9,                 1.0644,                0.52897,                 1.0807,                0.95986,                0.93177,                0.97843,                0.66452,                 1.1787,                0.47779,                  1.118,               0.011102,               0.011102,               0.011102
