                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1347,                0.56398,                 1.0719,                0.96039,                0.92947,                0.97891,                0.66905,                  1.155,                 0.4968,                 1.0938,               0.069461,              0.0025778,              0.0025778
                      1,                 1.1035,                0.53621,                 1.0578,                0.95978,                0.93315,                0.97973,                 0.6757,                 1.1373,                0.49266,                  1.085,                0.03821,              0.0046604,              0.0046604
                      2,                 1.1035,                0.53452,                 1.0563,                0.95567,                0.93659,                0.98056,                0.67517,                 1.1447,                0.48828,                 1.0884,              0.0064456,              0.0062292,              0.0062292
                      3,                 1.0967,                0.52655,                 1.0533,                0.95927,                0.93289,                0.97908,                0.67263,                 1.1472,                0.48334,                 1.0902,              0.0054721,              0.0054721,              0.0054721
                      4,                 1.0845,                0.52005,                 1.0471,                0.95979,                0.93332,                0.98132,                0.67953,                  1.137,                0.48034,                 1.0848,              0.0054721,              0.0054721,              0.0054721
                      5,                 1.0746,                0.50887,                 1.0417,                0.95553,                0.93907,                0.98081,                0.68072,                 1.1361,                0.47783,                 1.0833,              0.0047015,              0.0047015,              0.0047015
                      6,                 1.0659,                0.50563,                 1.0378,                0.95581,                0.93972,                 0.9816,                0.68283,                 1.1303,                0.47198,                 1.0802,              0.0039309,              0.0039309,              0.0039309
                      7,                 1.0617,                0.49996,                  1.037,                0.95436,                0.94049,                0.98234,                0.67915,                 1.1334,                0.47295,                 1.0814,              0.0031603,              0.0031603,              0.0031603
                      8,                 1.0504,                0.49506,                 1.0339,                0.96112,                0.93491,                0.98083,                0.68181,                 1.1304,                0.47005,                 1.0804,              0.0023897,              0.0023897,              0.0023897
                      9,                 1.0767,                0.50687,                 1.0461,                 0.9562,                 0.9402,                0.98161,                0.68067,                 1.1345,                0.46983,                 1.0826,              0.0016191,              0.0016191,              0.0016191
