                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0712,                0.54649,                 1.0883,                 0.9532,                0.91609,                0.96731,                0.59652,                 1.3663,                0.57578,                 1.2372,               0.091693,                0.02481,                0.02481
                      1,                 1.1278,                0.59227,                 1.1116,                0.94792,                0.89931,                0.96334,                0.64369,                 1.2122,                0.56499,                 1.1339,               0.078404,               0.044854,               0.044854
                      2,                 1.1671,                 0.6212,                 1.1346,                0.94894,                0.89285,                 0.9557,                0.58061,                 1.3552,                0.60513,                 1.2108,                0.06017,               0.059953,               0.059953
                      3,                 1.1683,                0.63099,                 1.1391,                0.94488,                0.88858,                 0.9536,                0.62169,                 1.2897,                0.61513,                 1.1859,               0.052666,               0.052666,               0.052666
                      4,                 1.1643,                0.62233,                  1.134,                0.94939,                0.90953,                0.96647,                0.61553,                 1.2822,                0.56276,                 1.1736,               0.052666,               0.052666,               0.052666
                      5,                 1.1286,                 0.5951,                 1.1155,                0.94832,                0.91055,                0.96657,                 0.5627,                 1.4621,                0.59961,                 1.2786,                0.04525,                0.04525,                0.04525
                      6,                 1.1063,                0.57728,                 1.1058,                0.95709,                0.91782,                0.97096,                0.65382,                 1.1866,                0.52116,                 1.1289,               0.037833,               0.037833,               0.037833
                      7,                 1.0833,                0.56096,                 1.0964,                 0.9433,                0.92205,                0.97202,                0.64197,                 1.2111,                0.52274,                  1.132,               0.030416,               0.030416,               0.030416
                      8,                 1.0655,                0.54435,                 1.0913,                0.95832,                0.92256,                0.97411,                0.66373,                  1.179,                0.50708,                 1.1209,               0.022999,               0.022999,               0.022999
                      9,                  1.072,                 0.5412,                 1.0906,                 0.9629,                0.92862,                0.97695,                0.66344,                 1.1747,                0.48308,                 1.1158,               0.015583,               0.015583,               0.015583
