                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2598,                0.72711,                 1.1421,                0.89582,                0.83944,                0.91314,                0.58102,                 1.2818,                0.89428,                 1.1958,               0.098696,               0.031975,               0.031975
                      1,                 1.3466,                0.88604,                 1.1887,                0.90069,                0.86558,                0.93314,                0.60245,                 1.2658,                0.73741,                 1.1882,               0.091054,               0.057666,               0.057666
                      2,                 1.3963,                0.91404,                 1.2189,                 0.9371,                0.88713,                  0.952,                0.57995,                 1.3256,                0.69807,                 1.2084,                0.07707,               0.077016,               0.077016
                      3,                 1.3717,                0.80244,                 1.2115,                0.95884,                0.86923,                0.95456,                0.62023,                 1.2647,                0.64662,                 1.1809,               0.067545,               0.067545,               0.067545
                      4,                 1.3466,                0.76933,                 1.2008,                0.92634,                0.90391,                0.95828,                0.61562,                 1.2561,                0.63727,                 1.1769,               0.067545,               0.067545,               0.067545
                      5,                 1.2847,                0.72299,                 1.1691,                0.95234,                0.90384,                0.96731,                0.64911,                 1.1963,                0.57788,                 1.1514,               0.058033,               0.058033,               0.058033
                      6,                 1.2409,                0.67339,                 1.1448,                0.94723,                0.91281,                0.96915,                0.64894,                 1.1816,                 0.5649,                 1.1376,               0.048521,               0.048521,               0.048521
                      7,                 1.2127,                0.63807,                 1.1289,                0.95166,                0.91575,                 0.9703,                0.65399,                 1.1724,                0.54562,                 1.1219,               0.039009,               0.039009,               0.039009
                      8,                 1.1748,                0.60644,                 1.1134,                0.95753,                0.92189,                0.97376,                0.64896,                 1.1997,                0.52365,                 1.1343,               0.029497,               0.029497,               0.029497
                      9,                 1.1535,                 0.5789,                 1.0993,                0.95179,                0.92844,                0.97609,                0.66724,                 1.1495,                0.50514,                 1.1087,               0.019985,               0.019985,               0.019985
