                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0855,                0.50851,                 1.0663,                0.95309,                0.93468,                0.97698,                0.66981,                 1.1759,                 0.4856,                 1.1144,               0.073927,              0.0070435,              0.0070435
                      1,                 1.0338,                0.48526,                 1.0422,                 0.9632,                0.93177,                0.97858,                 0.6768,                 1.1446,                0.47319,                 1.1004,               0.046284,               0.012734,               0.012734
                      2,                 1.0402,                0.48834,                 1.0431,                0.95276,                0.93125,                0.97699,                0.66844,                 1.1699,                0.48612,                 1.1091,               0.017237,                0.01702,                0.01702
                      3,                 1.0358,                0.48535,                 1.0399,                0.96057,                 0.9277,                0.97757,                0.67437,                 1.1618,                 0.4797,                 1.1083,               0.014952,               0.014952,               0.014952
                      4,                 1.0262,                0.47591,                 1.0362,                0.95717,                0.93023,                0.97635,                0.67466,                 1.1541,                0.47842,                 1.0981,               0.014952,               0.014952,               0.014952
                      5,                 1.0141,                0.46918,                 1.0298,                0.96093,                0.93029,                0.97881,                0.67318,                 1.1631,                0.47226,                  1.104,               0.012846,               0.012846,               0.012846
                      6,                 1.0074,                 0.4661,                 1.0271,                0.95588,                0.93177,                0.97742,                 0.6755,                 1.1543,                0.46755,                 1.0974,               0.010741,               0.010741,               0.010741
                      7,                 1.0003,                0.45973,                 1.0232,                 0.9525,                0.93534,                0.97857,                0.67445,                 1.1516,                 0.4648,                 1.0984,               0.008635,               0.008635,               0.008635
                      8,                0.99263,                0.45651,                 1.0223,                0.95548,                0.93799,                0.98004,                0.68192,                 1.1433,                0.46038,                 1.0923,              0.0065294,              0.0065294,              0.0065294
                      9,                 1.0143,                0.46289,                 1.0319,                  0.961,                0.93208,                0.98048,                0.67711,                 1.1467,                0.45726,                 1.0957,              0.0044238,              0.0044238,              0.0044238
