                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0523,                0.50906,                 1.0578,                0.95773,                0.92461,                0.97291,                0.66011,                 1.1873,                0.51121,                 1.1187,                0.08289,               0.016007,               0.016007
                      1,                 1.0757,                0.53257,                 1.0695,                0.95551,                0.92103,                0.97205,                0.65259,                 1.2058,                0.51545,                 1.1266,               0.062489,               0.028939,               0.028939
                      2,                  1.105,                0.54705,                 1.0804,                0.95698,                0.92154,                0.97293,                0.65254,                 1.1963,                 0.5162,                 1.1248,               0.038897,               0.038681,               0.038681
                      3,                 1.1024,                0.54885,                 1.0821,                0.94768,                0.92588,                0.97275,                0.63244,                 1.2551,                0.52021,                 1.1452,               0.033979,               0.033979,               0.033979
                      4,                 1.0964,                0.54464,                 1.0777,                0.95771,                0.92032,                0.97115,                0.65922,                 1.1853,                0.51279,                 1.1164,               0.033979,               0.033979,               0.033979
                      5,                 1.0807,                0.53028,                  1.072,                0.95559,                0.92461,                0.97435,                0.64494,                 1.2217,                0.50981,                 1.1358,               0.029194,               0.029194,               0.029194
                      6,                 1.0671,                0.52425,                 1.0675,                0.95335,                0.92451,                0.97483,                0.66396,                 1.1662,                0.49789,                 1.1091,               0.024409,               0.024409,               0.024409
                      7,                 1.0548,                0.51492,                 1.0612,                 0.9498,                0.93637,                0.97689,                0.65578,                 1.1784,                0.48797,                 1.1126,               0.019624,               0.019624,               0.019624
                      8,                 1.0405,                0.50264,                 1.0566,                0.96278,                0.92554,                0.97776,                0.67482,                 1.1495,                0.47798,                 1.0963,               0.014839,               0.014839,               0.014839
                      9,                 1.0563,                0.50592,                 1.0615,                0.96482,                0.93211,                0.97894,                 0.6703,                 1.1518,                0.46858,                 1.0975,               0.010054,               0.010054,               0.010054
