                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4423,                 1.3437,                 1.3114,                0.90702,                 0.8505,                0.92034,                0.49683,                 1.5259,                0.99999,                 1.3094,               0.082802,               0.016081,               0.016081
                      1,                  1.409,                 1.0788,                 1.2474,                0.91489,                0.86539,                0.93498,                0.56165,                 1.3545,                 0.8448,                 1.1992,                0.06239,               0.029002,               0.029002
                      2,                 1.4282,                 1.0482,                 1.2594,                0.94092,                0.88423,                0.95553,                0.53143,                  1.461,                0.95262,                 1.2837,               0.038788,               0.038734,               0.038734
                      3,                 1.3782,                0.95384,                 1.2216,                  0.946,                0.86404,                0.94095,                0.56383,                 1.3759,                0.72995,                 1.2176,               0.033971,               0.033971,               0.033971
                      4,                 1.3511,                0.89431,                 1.2109,                0.93245,                0.89256,                0.95755,                0.58566,                 1.3387,                0.69119,                 1.1889,               0.033971,               0.033971,               0.033971
                      5,                 1.2992,                0.79651,                 1.1861,                0.95614,                0.89127,                0.95811,                0.61325,                  1.275,                0.67292,                 1.1612,               0.029187,               0.029187,               0.029187
                      6,                 1.2686,                0.74887,                 1.1689,                0.95069,                0.91694,                0.97045,                0.63107,                 1.2301,                0.60337,                 1.1406,               0.024403,               0.024403,               0.024403
                      7,                 1.2293,                0.70218,                 1.1491,                0.95624,                0.91032,                0.97055,                0.64514,                 1.1981,                 0.5682,                 1.1248,               0.019619,               0.019619,               0.019619
                      8,                 1.1901,                0.65955,                 1.1313,                0.95511,                0.91902,                0.97487,                0.63663,                  1.231,                0.55228,                 1.1392,               0.014835,               0.014835,               0.014835
                      9,                 1.1708,                0.62882,                 1.1191,                0.95913,                0.92563,                0.97664,                0.65784,                  1.172,                  0.526,                 1.1079,               0.010051,               0.010051,               0.010051
