                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5084,                 1.5655,                 1.3006,                0.66652,                0.58994,                0.64267,                0.28328,                 1.7427,                 1.6222,                 1.4559,               0.093768,               0.026884,               0.026884
                      1,                 1.4971,                  1.259,                 1.2621,                0.80655,                0.70381,                0.79177,                0.44818,                 1.5023,                 1.2369,                 1.2374,               0.082154,               0.048604,               0.048604
                      2,                 1.5045,                 1.2049,                  1.267,                0.75795,                0.68822,                0.75971,                0.41347,                 1.5531,                 1.3256,                 1.3385,               0.065182,               0.064966,               0.064966
                      3,                 1.4456,                 1.0367,                 1.2451,                0.81892,                0.81651,                0.85512,                0.51542,                 1.4074,                 1.0406,                 1.2467,                0.05707,                0.05707,                0.05707
                      4,                 1.4014,                0.92099,                 1.2258,                0.91303,                0.85849,                0.92089,                0.53833,                 1.4098,                0.80363,                 1.2386,                0.05707,                0.05707,                0.05707
                      5,                 1.3253,                0.81258,                 1.1896,                 0.9383,                0.88295,                0.95017,                0.59479,                 1.2959,                0.68148,                 1.1785,               0.049033,               0.049033,               0.049033
                      6,                  1.281,                0.74846,                 1.1681,                0.94114,                0.89073,                0.96008,                0.62647,                 1.2391,                0.65361,                 1.1534,               0.040996,               0.040996,               0.040996
                      7,                 1.2355,                0.70381,                 1.1455,                0.94359,                0.90161,                0.96579,                0.61723,                 1.2821,                0.59007,                 1.1578,               0.032959,               0.032959,               0.032959
                      8,                 1.1931,                0.65582,                 1.1243,                0.95044,                0.91158,                0.96763,                0.64291,                 1.2047,                0.56672,                 1.1215,               0.024922,               0.024922,               0.024922
                      9,                 1.1715,                0.62749,                 1.1142,                0.95618,                0.91771,                0.97112,                0.63107,                  1.247,                0.55522,                 1.1407,               0.016886,               0.016886,               0.016886
